,textID,text,selected_text,sentiment
0,cb774db0d1," I`d have responded, if I were going","I`d have responded, if I were going",0
1,549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,2
2,088c60f138,my boss is bullying me...,bullying me,2
3,9642c003ef, what interview! leave me alone,leave me alone,2
4,358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",2
5,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,0
6,6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,1
7,50e14c0bb8,Soooo high,Soooo high,0
8,e050245fbd, Both of you,Both of you,0
9,fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,1
10,2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",0
11,16fab9f95b,I really really like the song Love Story by Taylor Swift,like,1
12,74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,2
13,04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,2
14,bbe3cbf620,test test from the LG enV2,test test from the LG enV2,0
15,8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",2
16,3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",*sigh*,2
17,919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,2
18,af3fed7fc3,is back home now      gonna miss every one,onna,2
19,40e7becabf,Hes just not that into you,Hes just not that into you,0
20,04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",0
21,e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,1
22,7de057cf40,is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,0
23,9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,0
24,0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,0
25,e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",1
26,852edc3769,  I`m sorry.,I`m sorry.,2
27,bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,2
28,6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,1
29,d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,2
30,d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,1
31,7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,1
32,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,2
33,2dc51711bc, That`s very funny.  Cute kids.,funny.,1
34,d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",0
35,4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",0
36,2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,2
37,1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",0
38,4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,2
39,2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,1
40,d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",0
41,fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,1
42,2e7082d1c8,MAYDAY?!,MAYDAY?!,0
43,684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",0
44,c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,1
45,a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,0
46,ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,2
47,c3924dc9e4,:visiting my friendster and facebook,:visiting my friendster and facebook,0
48,3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,2
49,3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,2
50,a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,0
51,15d5f3a41b," also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",0
52,3c4a21b2cb, hm... Both of us I guess...,hm... Both of us I guess...,0
53,11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,2
54,d8ba2a99a9, romance zero is funny,romance zero is funny,1
55,e77fd45003, I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,0
